transaction_id,customer_id,merchant_id,amount,transaction_time,is_fraudulent,card_type,location,purchase_category,customer_age,fraud_type
46.0,775029.0,2039.0,2829.444,12/30/2023 07:28,0.0,Visa,Bangalore,Digital,47.0,phishing
47.0,685070.0,2040.0,4727.412,03/15/2024 20:44,,Visa,Ahmedabad,Digital,68.0,phishing
48.0,,2085.0,5965.04,10/14/2023 11:36,1.0,Visa,Chennai,Digital,48.0,scam
49.0,732998.0,2010.0,4992.83,10/11/2023 17:36,,MasterCard,Bangalore,Digital,27.0,
50.0,760284.0,2022.0,,,1.0,Rupay,Delhi,Digital,32.0,Payment card fraud
51.0,488045.0,2000.0,1407.58,11/22/2023 09:30,1.0,Visa,Kolkata,POS,59.0,phishing
52.0,202454.0,2045.0,6966.69,10/17/2023 14:50,1.0,MasterCard,Ahmedabad,POS,65.0,phishing
53.0,105140.0,2020.0,4072.97,10/10/2023 12:28,0.0,Rupay,Pune,POS,61.0,Identity theft
54.0,146322.0,2089.0,,11/08/2023 03:14,0.0,MasterCard,Bangalore,POS,35.0,phishing
55.0,367959.0,2035.0,7190.1,01/25/2024 08:11,0.0,MasterCard,Surat,Digital,40.0,phishing
56.0,256626.0,2053.0,,09/19/2023 09:04,1.0,Visa,Chennai,POS,50.0,phishing
57.0,735230.0,2086.0,11895.6,09/11/2023 20:17,1.0,Rupay,Hyderabad,,33.0,phishing
58.0,103361.0,2056.0,1460.2720000000002,09/15/2023 13:25,1.0,MasterCard,Pune,Digital,55.0,scam
59.0,825628.0,2000.0,1628.835,12/19/2023 05:24,0.0,Rupay,Ahmedabad,Digital,,phishing
60.0,430546.0,2062.0,7982.887000000001,,0.0,Visa,Jaipur,,51.0,scam
61.0,802751.0,2053.0,5804.95,11/26/2023 19:29,0.0,Rupay,Chennai,Digital,45.0,Payment card fraud
62.0,108281.0,2054.0,4166.85,03/18/2024 23:20,0.0,MasterCard,Pune,Digital,19.0,scam
63.0,652304.0,2039.0,1386.363,10/16/2023 04:09,0.0,MasterCard,Kolkata,POS,47.0,Identity theft
64.0,141227.0,2014.0,1488.7949999999998,03/05/2024 23:09,0.0,Rupay,Ahmedabad,Digital,30.0,phishing
,808232.0,2020.0,13420.8,12/08/2023 01:37,1.0,MasterCard,Delhi,Digital,58.0,Identity theft
66.0,906548.0,2046.0,2938.62,03/14/2024 02:12,,MasterCard,Hyderabad,Digital,33.0,scam
67.0,422454.0,2072.0,5881.590000000001,11/09/2023 04:54,1.0,MasterCard,Delhi,Digital,22.0,Identity theft
68.0,741800.0,2052.0,2535.753,,1.0,Visa,,POS,45.0,
69.0,,2008.0,6447.978,10/24/2023 04:32,0.0,Visa,Jaipur,Digital,56.0,Payment card fraud
70.0,826079.0,2073.0,1111.155,,1.0,MasterCard,Bangalore,POS,62.0,scam
71.0,335778.0,,7821.960000000001,10/08/2023 23:29,1.0,Rupay,Hyderabad,POS,37.0,scam
72.0,801702.0,2056.0,722.75,03/12/2024 11:15,0.0,Visa,Chennai,Digital,41.0,Payment card fraud
73.0,423573.0,2025.0,,12/11/2023 18:11,0.0,Rupay,Bangalore,Digital,44.0,Malware
74.0,623148.0,2040.0,3563.16,12/18/2023 03:52,1.0,MasterCard,Jaipur,POS,47.0,scam
75.0,168286.0,2034.0,8948.148000000001,01/12/2024 00:44,0.0,MasterCard,Mumbai,POS,62.0,Payment card fraud
76.0,808569.0,2062.0,8806.79,01/02/2024 16:56,0.0,Rupay,Mumbai,POS,44.0,scam
77.0,605173.0,2024.0,,10/08/2023 09:53,0.0,Visa,Pune,POS,43.0,phishing
78.0,120413.0,2089.0,9635.274,10/06/2023 23:25,1.0,Rupay,Pune,Digital,24.0,Payment card fraud
79.0,582477.0,2074.0,3277.12,11/26/2023 06:56,0.0,Rupay,Ahmedabad,Digital,59.0,
80.0,391236.0,2037.0,,03/19/2024 23:10,1.0,MasterCard,Pune,Digital,64.0,Payment card fraud
81.0,961549.0,2001.0,6711.4,,1.0,Visa,Kolkata,POS,55.0,phishing
82.0,360153.0,2006.0,11930.028,12/21/2023 07:36,0.0,Rupay,Pune,Digital,22.0,Identity theft
,889878.0,2081.0,10948.245,12/27/2023 05:50,1.0,Visa,Kolkata,Digital,40.0,Malware
84.0,800196.0,2090.0,10079.909999999998,10/14/2023 23:36,0.0,MasterCard,Pune,Digital,45.0,Payment card fraud
85.0,336634.0,2033.0,,01/23/2024 02:34,1.0,,Delhi,Digital,51.0,Malware
86.0,109263.0,,4678.8,01/08/2024 20:27,0.0,MasterCard,Surat,Digital,32.0,phishing
87.0,211576.0,2016.0,648.42,03/22/2024 15:50,0.0,Visa,Kolkata,POS,49.0,Identity theft
88.0,843351.0,2042.0,6209.335000000001,02/06/2024 21:48,0.0,Rupay,Chennai,Digital,43.0,phishing
89.0,588414.0,2058.0,11494.044,02/03/2024 06:15,0.0,MasterCard,Ahmedabad,POS,65.0,Identity theft
90.0,531947.0,2050.0,1794.26,11/22/2023 08:01,0.0,Rupay,Hyderabad,Digital,48.0,Payment card fraud
91.0,852397.0,2053.0,,09/08/2023 10:57,1.0,MasterCard,Kolkata,Digital,36.0,Malware
92.0,,2023.0,3688.722,12/03/2023 05:13,,Visa,Bangalore,POS,,Identity theft
93.0,370479.0,2024.0,8072.235,11/19/2023 23:33,0.0,Visa,Surat,POS,46.0,phishing
94.0,472319.0,2070.0,1011.93,02/02/2024 22:22,1.0,MasterCard,Delhi,Digital,68.0,Malware
95.0,379181.0,2051.0,6796.785,02/04/2024 00:54,,MasterCard,Mumbai,POS,,scam
96.0,116505.0,2069.0,11360.745,11/03/2023 00:37,0.0,MasterCard,Delhi,Digital,21.0,Identity theft
97.0,246232.0,2087.0,3508.34,09/20/2023 18:44,,Visa,Pune,Digital,20.0,phishing
98.0,159139.0,2032.0,7999.044,09/27/2023 18:03,0.0,MasterCard,Ahmedabad,Digital,46.0,Identity theft
,665705.0,2048.0,7964.73,09/16/2023 16:50,,MasterCard,,,69.0,phishing
100.0,703242.0,2028.0,10202.962,03/14/2024 21:41,0.0,Rupay,Bangalore,Digital,28.0,Identity theft
101.0,327304.0,2062.0,2384.69,02/12/2024 17:26,1.0,MasterCard,,Digital,50.0,phishing
102.0,268680.0,2021.0,,03/13/2024 03:55,0.0,Rupay,Delhi,Digital,27.0,
103.0,300039.0,2025.0,1566.54,01/20/2024 17:16,0.0,Rupay,Surat,Digital,28.0,phishing
104.0,108252.0,2027.0,17865.377999999997,11/14/2023 00:52,1.0,Rupay,Kolkata,Digital,,Malware
105.0,536279.0,2084.0,13910.49,01/24/2024 01:04,1.0,Visa,Ahmedabad,POS,,scam
106.0,445963.0,,8133.855,01/04/2024 01:23,0.0,Rupay,Hyderabad,Digital,38.0,Identity theft
107.0,768641.0,2070.0,8428.23,02/22/2024 07:36,0.0,MasterCard,Mumbai,Digital,,scam
108.0,,2080.0,6280.236,11/08/2023 13:37,0.0,Visa,Ahmedabad,POS,48.0,Identity theft
109.0,165129.0,2083.0,9382.02,02/27/2024 02:19,1.0,Visa,Pune,Digital,55.0,scam
110.0,348705.0,2048.0,1405.185,10/27/2023 04:56,1.0,Visa,Jaipur,Digital,63.0,Identity theft
111.0,196434.0,2019.0,,09/03/2023 19:59,0.0,Visa,,Digital,19.0,phishing
112.0,893893.0,2085.0,1320.75,12/21/2023 11:02,,Visa,Pune,Digital,44.0,scam
113.0,119439.0,2091.0,14884.866,,,Visa,Delhi,POS,53.0,Malware
114.0,330554.0,2062.0,11746.77,09/23/2023 02:14,0.0,Visa,Hyderabad,POS,28.0,phishing
115.0,772289.0,2060.0,7102.01,10/02/2023 08:45,0.0,Rupay,Pune,Digital,64.0,phishing
116.0,150397.0,2048.0,737.64,01/17/2024 04:33,0.0,MasterCard,Hyderabad,POS,35.0,Payment card fraud
117.0,277887.0,2070.0,5059.1145,12/08/2023 04:42,0.0,MasterCard,Ahmedabad,POS,18.0,Payment card fraud
118.0,332717.0,2000.0,2667.97,02/11/2024 21:08,1.0,Rupay,Surat,Digital,52.0,Identity theft
119.0,784722.0,2095.0,4360.032,02/14/2024 15:03,0.0,Rupay,Mumbai,POS,52.0,scam
120.0,,2012.0,1014.255,02/28/2024 08:31,0.0,Visa,Mumbai,Digital,48.0,scam
121.0,311504.0,2093.0,,02/06/2024 06:39,0.0,,Pune,,45.0,Identity theft
122.0,791029.0,2086.0,6116.363,09/07/2023 10:01,0.0,Rupay,Pune,POS,56.0,phishing
123.0,335358.0,2050.0,4634.955,,,Visa,Hyderabad,Digital,,Payment card fraud
124.0,780035.0,2055.0,3999.97,12/02/2023 15:42,0.0,MasterCard,Delhi,Digital,42.0,scam
125.0,461158.0,2082.0,4949.637000000001,03/30/2024 10:30,1.0,MasterCard,Pune,Digital,,Payment card fraud
126.0,887624.0,2061.0,7231.092,02/17/2024 20:24,0.0,Visa,Hyderabad,,55.0,
127.0,924556.0,2031.0,7771.515,02/27/2024 03:22,0.0,Visa,Chennai,POS,37.0,Identity theft
128.0,882252.0,2029.0,15176.617500000002,12/09/2023 23:39,0.0,Visa,Mumbai,POS,20.0,phishing
129.0,704382.0,2028.0,5993.748,10/06/2023 13:55,,MasterCard,Pune,Digital,68.0,
130.0,995293.0,2048.0,17859.546,10/03/2023 00:25,0.0,Visa,Ahmedabad,Digital,19.0,scam
131.0,665060.0,2044.0,,03/04/2024 23:16,0.0,Rupay,Bangalore,Digital,35.0,Identity theft
132.0,253438.0,2092.0,2337.148,02/23/2024 11:13,0.0,Visa,Hyderabad,Digital,61.0,Payment card fraud
133.0,,2029.0,10240.362,03/23/2024 07:22,0.0,Rupay,Mumbai,Digital,27.0,phishing
134.0,148881.0,2015.0,1328.635,10/23/2023 09:39,1.0,Visa,Pune,Digital,22.0,Malware
135.0,426842.0,2039.0,8183.62,03/01/2024 14:19,1.0,Visa,Surat,POS,26.0,Malware
136.0,487524.0,2018.0,4220.92,02/07/2024 20:21,0.0,,Hyderabad,,19.0,scam
137.0,625482.0,2017.0,9664.424,10/05/2023 15:38,0.0,Rupay,Delhi,Digital,51.0,Malware
138.0,,2000.0,9555.876,02/26/2024 22:54,,Rupay,Pune,POS,55.0,scam
139.0,395601.0,,12103.44,12/18/2023 04:29,1.0,Rupay,Hyderabad,Digital,48.0,scam
140.0,408619.0,2046.0,8701.880000000001,12/02/2023 07:11,0.0,MasterCard,Pune,POS,27.0,Identity theft
141.0,552276.0,2065.0,5546.808,03/27/2024 23:25,0.0,Rupay,Jaipur,POS,67.0,Identity theft
142.0,236003.0,2091.0,940.665,10/05/2023 22:37,0.0,MasterCard,Bangalore,Digital,29.0,scam
143.0,460715.0,2093.0,4871.58,01/08/2024 10:09,0.0,Visa,Kolkata,Digital,53.0,Payment card fraud
144.0,786553.0,,2131.884,01/07/2024 19:34,1.0,Visa,,Digital,38.0,Payment card fraud
145.0,507122.0,,8357.712,12/08/2023 08:06,0.0,Rupay,Jaipur,Digital,66.0,Malware
,304058.0,2062.0,3493.69,02/25/2024 14:03,0.0,Visa,Hyderabad,Digital,64.0,Malware
147.0,917225.0,2003.0,9757.32,01/27/2024 21:04,0.0,Visa,Delhi,Digital,23.0,scam
148.0,280587.0,2000.0,9641.505,11/07/2023 05:21,1.0,Rupay,Pune,Digital,,Identity theft
149.0,284084.0,2007.0,9057.048,11/11/2023 13:11,0.0,Visa,Hyderabad,Digital,66.0,Identity theft
150.0,206012.0,2028.0,2463.516,,1.0,Rupay,Surat,Digital,20.0,phishing
151.0,826491.0,2054.0,8627.04,10/25/2023 20:05,,Rupay,Delhi,POS,,Identity theft
152.0,799456.0,2002.0,13847.145,01/29/2024 05:41,0.0,Visa,Surat,Digital,22.0,scam
153.0,266723.0,2031.0,5385.897000000001,03/22/2024 21:44,0.0,Visa,Jaipur,Digital,63.0,phishing
,765679.0,2009.0,6082.22,03/01/2024 06:18,0.0,Visa,Ahmedabad,Digital,43.0,Identity theft
155.0,751731.0,2073.0,,09/28/2023 05:15,1.0,Visa,,POS,38.0,Identity theft
156.0,383598.0,2082.0,2684.46,02/27/2024 00:41,0.0,Visa,Kolkata,Digital,62.0,Malware
157.0,582159.0,2033.0,5050.53,10/25/2023 21:33,0.0,,Pune,Digital,43.0,Malware
158.0,578099.0,2096.0,4016.7,11/20/2023 13:57,1.0,Visa,Bangalore,POS,55.0,Payment card fraud
159.0,730031.0,2086.0,1657.062,03/07/2024 10:28,0.0,,Jaipur,Digital,,Malware
160.0,876496.0,2054.0,4448.364,10/13/2023 11:45,0.0,Rupay,Hyderabad,POS,43.0,Identity theft
161.0,302810.0,2091.0,1092.465,01/23/2024 05:52,0.0,,Jaipur,,25.0,phishing
162.0,153259.0,2031.0,506.2695000000001,10/03/2023 03:15,0.0,Visa,Hyderabad,Digital,22.0,phishing
163.0,,2049.0,1673.88,,0.0,Visa,Jaipur,Digital,32.0,scam
164.0,967047.0,2006.0,11559.6,12/14/2023 09:59,1.0,Rupay,Ahmedabad,Digital,33.0,Malware
165.0,143241.0,2092.0,,01/22/2024 12:31,0.0,MasterCard,Chennai,Digital,18.0,Identity theft
166.0,471240.0,2007.0,10625.923,09/27/2023 08:38,0.0,MasterCard,Bangalore,POS,33.0,scam
167.0,750403.0,2064.0,5224.02,10/27/2023 11:34,1.0,Visa,Hyderabad,Digital,54.0,scam
168.0,937752.0,,3152.57,03/05/2024 07:52,0.0,Visa,,Digital,20.0,scam
169.0,683025.0,2066.0,7629.164999999999,01/26/2024 05:52,0.0,Visa,Delhi,Digital,69.0,scam
170.0,847727.0,2087.0,6634.710000000001,01/02/2024 01:50,0.0,Visa,Jaipur,Digital,64.0,Payment card fraud
171.0,638836.0,2086.0,1982.448,10/21/2023 23:18,0.0,Rupay,Pune,Digital,48.0,Identity theft
172.0,189802.0,2058.0,7068.842000000001,12/07/2023 21:28,0.0,Visa,Mumbai,Digital,30.0,phishing
173.0,671201.0,2071.0,3299.37,01/18/2024 05:00,1.0,Rupay,Delhi,Digital,33.0,Identity theft
174.0,501175.0,2053.0,7457.879999999999,03/22/2024 14:01,1.0,Visa,Surat,Digital,60.0,Identity theft
175.0,144823.0,2066.0,7823.4,09/26/2023 20:03,0.0,MasterCard,Kolkata,Digital,38.0,Identity theft
176.0,622438.0,2050.0,1562.65,09/04/2023 11:03,0.0,MasterCard,Mumbai,Digital,19.0,phishing
177.0,490672.0,2096.0,990.645,10/16/2023 02:08,1.0,Visa,Ahmedabad,Digital,44.0,Malware
178.0,372411.0,2091.0,11727.87,10/20/2023 04:53,0.0,Visa,Jaipur,,55.0,phishing
179.0,299013.0,2007.0,5087.511,12/12/2023 19:05,0.0,,Chennai,POS,43.0,Payment card fraud
180.0,116785.0,2033.0,628.73,11/29/2023 20:54,1.0,Visa,Ahmedabad,Digital,,Identity theft
181.0,619842.0,2034.0,10943.812000000002,,0.0,Visa,Hyderabad,Digital,63.0,Malware
182.0,561621.0,2095.0,624.92,10/11/2023 14:42,0.0,Visa,Mumbai,Digital,42.0,scam
183.0,288871.0,2087.0,6965.6,11/14/2023 18:45,0.0,MasterCard,Kolkata,POS,28.0,phishing
184.0,328572.0,2077.0,9837.61,10/21/2023 20:46,0.0,,Pune,,25.0,phishing
185.0,933114.0,2031.0,2672.8240000000005,10/04/2023 10:19,0.0,MasterCard,Chennai,Digital,25.0,Payment card fraud
186.0,,2045.0,1611.9180000000003,10/07/2023 11:24,0.0,Rupay,Bangalore,Digital,50.0,phishing
187.0,899885.0,2015.0,1257.78,10/12/2023 19:11,0.0,MasterCard,Jaipur,POS,24.0,phishing
,,2067.0,3067.59,03/26/2024 12:28,0.0,Visa,Hyderabad,Digital,55.0,Payment card fraud
189.0,,2036.0,1583.1150000000002,01/14/2024 01:48,1.0,MasterCard,Jaipur,Digital,38.0,Malware
190.0,807678.0,2053.0,6937.01,03/07/2024 08:38,1.0,,Ahmedabad,,25.0,Identity theft
191.0,972708.0,2084.0,1004.7,02/07/2024 23:43,0.0,Rupay,Mumbai,Digital,68.0,phishing
192.0,954155.0,2013.0,7678.125,11/08/2023 00:40,0.0,Rupay,Ahmedabad,POS,38.0,Malware
193.0,390586.0,2094.0,10963.843,02/16/2024 20:09,,MasterCard,,POS,37.0,scam
194.0,383298.0,2054.0,12223.5,,0.0,Rupay,Pune,Digital,25.0,Identity theft
195.0,913089.0,2047.0,9257.145,11/19/2023 03:43,0.0,Rupay,Kolkata,Digital,63.0,
196.0,187205.0,2081.0,4645.83,02/14/2024 00:52,,Rupay,Bangalore,Digital,48.0,Malware
197.0,,2006.0,9386.64,02/27/2024 03:54,1.0,Rupay,Pune,POS,67.0,Identity theft
198.0,702484.0,2073.0,6352.872,02/19/2024 14:30,0.0,Rupay,Delhi,POS,46.0,
199.0,881954.0,2006.0,4718.483,09/27/2023 18:49,,,Kolkata,POS,65.0,Malware
200.0,758784.0,2032.0,1350.57,12/23/2023 18:31,1.0,Rupay,Pune,POS,26.0,phishing
201.0,688115.0,2022.0,8871.71,11/11/2023 11:11,0.0,Visa,Chennai,Digital,32.0,phishing
202.0,845201.0,2084.0,5430.432,,1.0,MasterCard,Jaipur,Digital,47.0,Identity theft
203.0,701914.0,2018.0,2979.735,02/16/2024 00:56,,MasterCard,Ahmedabad,Digital,43.0,Identity theft
204.0,426879.0,2018.0,6120.196500000001,12/07/2023 23:13,0.0,MasterCard,Kolkata,POS,27.0,Payment card fraud
205.0,800623.0,2035.0,5004.708,12/09/2023 22:32,1.0,Rupay,Chennai,Digital,46.0,
206.0,271588.0,2028.0,9112.4,10/19/2023 21:58,0.0,Visa,Ahmedabad,Digital,33.0,Malware
207.0,,2059.0,8819.351999999999,03/14/2024 08:20,0.0,Rupay,Delhi,Digital,53.0,Payment card fraud
208.0,571925.0,2081.0,13868.244,11/04/2023 00:50,0.0,MasterCard,Surat,Digital,37.0,phishing
209.0,798689.0,2001.0,159.76,11/07/2023 09:42,1.0,MasterCard,Kolkata,Digital,62.0,Malware
210.0,184365.0,2000.0,4609.803,10/18/2023 07:02,0.0,MasterCard,Chennai,Digital,54.0,scam
211.0,975096.0,2046.0,7259.055,09/07/2023 03:04,1.0,,Ahmedabad,,39.0,
212.0,715145.0,2068.0,240.96,10/05/2023 11:12,1.0,Rupay,Ahmedabad,Digital,24.0,Identity theft
213.0,524892.0,2019.0,4347.981000000001,09/29/2023 02:46,,Visa,Pune,Digital,40.0,
214.0,159754.0,2010.0,7614.88,01/23/2024 20:14,,Visa,Mumbai,,58.0,Malware
215.0,791161.0,2001.0,1414.24,11/19/2023 13:43,1.0,MasterCard,Pune,POS,57.0,Malware
216.0,836425.0,2066.0,5913.974000000001,10/09/2023 06:19,0.0,Visa,Chennai,Digital,46.0,
217.0,910349.0,2086.0,2629.512,12/22/2023 17:48,0.0,MasterCard,Hyderabad,Digital,33.0,phishing
218.0,682781.0,2011.0,,11/23/2023 06:11,0.0,MasterCard,Jaipur,POS,55.0,Identity theft
219.0,458964.0,2019.0,4409.91,11/08/2023 01:09,1.0,Visa,,Digital,45.0,Malware
220.0,602761.0,2004.0,,10/26/2023 04:19,0.0,MasterCard,Pune,,65.0,Payment card fraud
221.0,488917.0,2036.0,8025.29,10/27/2023 14:15,1.0,Visa,Ahmedabad,Digital,55.0,phishing
222.0,820079.0,2037.0,9597.79,,0.0,MasterCard,Ahmedabad,Digital,48.0,scam
223.0,906307.0,2093.0,7356.224999999999,02/02/2024 23:42,0.0,Visa,Surat,Digital,31.0,Identity theft
224.0,766461.0,2008.0,1370.256,09/13/2023 16:20,0.0,,Kolkata,Digital,50.0,Payment card fraud
225.0,853825.0,2097.0,5502.2,09/06/2023 22:28,0.0,Visa,Surat,Digital,26.0,Malware
226.0,183701.0,2052.0,4571.05,12/25/2023 20:43,0.0,MasterCard,Jaipur,,44.0,
227.0,,2043.0,9296.485,11/15/2023 06:08,0.0,MasterCard,Delhi,POS,41.0,Payment card fraud
228.0,253440.0,2098.0,1538.88,02/07/2024 23:49,1.0,MasterCard,Pune,Digital,30.0,
229.0,756622.0,2085.0,5398.8,,0.0,Visa,Bangalore,POS,,Identity theft
230.0,169917.0,2023.0,1697.2780000000002,01/03/2024 07:13,1.0,Rupay,Chennai,Digital,46.0,Identity theft
231.0,607905.0,2080.0,3280.53,10/24/2023 14:52,0.0,MasterCard,Chennai,POS,68.0,scam
232.0,719379.0,2073.0,8864.039999999999,01/23/2024 06:39,0.0,MasterCard,Delhi,Digital,66.0,Payment card fraud
233.0,310462.0,,5743.656,02/29/2024 20:09,0.0,Visa,Kolkata,Digital,60.0,Malware
234.0,813415.0,2058.0,6822.162,01/25/2024 05:24,0.0,MasterCard,Pune,Digital,45.0,Payment card fraud
235.0,175971.0,2086.0,4770.048,09/01/2023 17:41,1.0,MasterCard,Jaipur,,45.0,phishing
236.0,938522.0,2095.0,5545.8,,0.0,MasterCard,Mumbai,POS,25.0,Malware
237.0,635197.0,2080.0,7860.91,11/12/2023 11:28,0.0,MasterCard,Surat,Digital,40.0,Malware
238.0,344115.0,2080.0,13389.36,,1.0,Rupay,Delhi,Digital,46.0,Malware
239.0,918144.0,2013.0,9555.58,09/29/2023 10:51,0.0,Rupay,Mumbai,Digital,22.0,scam
240.0,759403.0,2008.0,14183.442,03/19/2024 23:24,1.0,MasterCard,Surat,Digital,59.0,Malware
241.0,639470.0,2039.0,4782.450000000001,09/16/2023 05:50,1.0,MasterCard,Delhi,POS,24.0,Identity theft
242.0,883348.0,2065.0,6896.94,10/02/2023 13:17,0.0,MasterCard,Chennai,POS,59.0,Identity theft
,474567.0,2024.0,7927.469999999999,11/22/2023 00:52,0.0,Rupay,Chennai,POS,53.0,scam
244.0,237102.0,2072.0,4263.5505,11/03/2023 23:06,1.0,Rupay,,Digital,58.0,Identity theft
245.0,582905.0,2021.0,8416.67,01/16/2024 20:01,0.0,Visa,Surat,Digital,44.0,scam
246.0,451009.0,2003.0,432.34,03/26/2024 18:17,0.0,,Bangalore,POS,,phishing
247.0,850657.0,2025.0,9924.783,12/21/2023 06:15,1.0,MasterCard,Jaipur,Digital,19.0,Identity theft
248.0,382504.0,2057.0,5105.87,12/14/2023 22:31,1.0,MasterCard,Hyderabad,POS,42.0,Payment card fraud
249.0,670262.0,2028.0,7029.165,11/14/2023 11:10,1.0,Rupay,Kolkata,POS,26.0,Malware
250.0,872761.0,2097.0,6610.57,09/06/2023 16:03,0.0,MasterCard,Kolkata,POS,44.0,Malware
251.0,715747.0,2086.0,8956.42,,0.0,MasterCard,Surat,Digital,18.0,
252.0,177561.0,2036.0,10535.019,09/09/2023 04:42,1.0,Rupay,Delhi,Digital,40.0,
253.0,780072.0,2074.0,11085.552,02/12/2024 03:18,1.0,Rupay,Delhi,POS,27.0,phishing
254.0,950908.0,2069.0,784.5090000000001,10/21/2023 09:12,1.0,Rupay,Hyderabad,,59.0,Payment card fraud
