id,razorpay_payment_id,timestamp,agent_type,amount,currency,payment_method,upi_app,bank,status,error_code,device_fingerprint,ip_address,fraud_score,is_suspicious,fraud_reasons,amount_slab,hour_of_day,is_night_transaction,is_weekend,attempt_count
6116,pay_DCS6OT7UPYL8WZ,2025-12-24T19:16:33.366651,dormant,283.32,INR,upi,WhatsApp Pay,BOB,success,,device_af5deff8-284a-4a,103.248.131.250,14.0,False,"[""High velocity: 7 txns in 1 min"", ""UPI switching: 75.0%""]",medium,19,False,False,10
6115,pay_Z8GWOCCF4UBEAR,2025-12-24T19:16:31.900286,normal,4406.98,INR,upi,GPay,PNB,failed,DEBIT_FAILED,device_34cab351-e0b2-48,103.10.148.240,7.0,False,"[""UPI switching: 60.0%""]",very_large,19,False,False,7
6114,pay_4XDLVLVPHLUBSK,2025-12-24T19:16:29.690880,dormant,390.13,INR,upi,PhonePe,Canara,success,,device_ef322e13-4428-49,103.34.235.49,7.0,False,"[""UPI switching: 100.0%""]",medium,19,False,False,3
6113,pay_XXY23UJS5I8I3V,2025-12-24T19:16:29.657735,dormant,1570.26,INR,upi,WhatsApp Pay,Axis,success,,device_e4192be0-471d-47,103.102.124.154,7.0,False,"[""UPI switching: 100.0%""]",large,19,False,False,4
6112,pay_ONKKYAO5N49A2A,2025-12-24T19:16:29.098169,dormant,725.77,INR,upi,BHIM,BOB,failed,INSUFFICIENT_FUNDS,device_ad8e64ce-1785-40,103.96.147.55,7.0,False,"[""UPI switching: 75.0%""]",large,19,False,False,6
6111,pay_R9EYX0K3UBHILK,2025-12-24T19:16:28.211633,dormant,428.34,INR,upi,Paytm,SBI,success,,device_e6cd67b5-6117-4d,103.56.168.232,7.0,False,"[""UPI switching: 100.0%""]",medium,19,False,False,7
6110,pay_SL3XV3IK0SYRRZ,2025-12-24T19:16:27.703070,dormant,2694.95,INR,upi,PhonePe,SBI,success,,device_c43078c7-ea54-4a,103.245.141.81,7.0,False,"[""UPI switching: 100.0%""]",very_large,19,False,False,5
6109,pay_QGOEZ70EZLK7BA,2025-12-24T19:16:27.660275,dormant,1699.39,INR,upi,GPay,Axis,success,,device_c78bc216-7ae8-48,103.219.23.3,7.0,False,"[""UPI switching: 100.0%""]",large,19,False,False,6
6108,pay_Z941YQ69XPNEY3,2025-12-24T19:16:27.627583,dormant,500.11,INR,upi,PayZapp,PNB,success,,device_a3b0df17-725f-49,103.204.78.17,14.0,False,"[""High velocity: 8 txns in 1 min"", ""UPI switching: 88.89%""]",large,19,False,False,11
6107,pay_F798NREBMBO43L,2025-12-24T19:16:25.185788,dormant,1029.5,INR,upi,WhatsApp Pay,PNB,success,,device_98329875-2516-4d,103.6.14.162,14.0,False,"[""High velocity: 8 txns in 1 min"", ""UPI switching: 77.78%""]",large,19,False,False,11
6106,pay_21V4A36MUUJBPI,2025-12-24T19:16:24.799758,dormant,1007.66,INR,upi,Paytm,PNB,success,,device_af5deff8-284a-4a,103.248.131.250,14.0,False,"[""High velocity: 6 txns in 1 min"", ""UPI switching: 71.43%""]",large,19,False,False,9
6105,pay_YFSDX1K9K3Z166,2025-12-24T19:16:24.028924,dormant,215.51,INR,upi,Paytm,Canara,success,,device_e4192be0-471d-47,103.102.124.154,7.0,False,"[""UPI switching: 100.0%""]",medium,19,False,False,3
6104,pay_1QQFJ62FO19MR4,2025-12-24T19:16:23.851929,dormant,3911.16,INR,upi,Paytm,SBI,failed,BAD_REQUEST_ERROR,device_8d85900a-d6f3-42,103.249.152.235,7.0,False,"[""UPI switching: 50.0%""]",very_large,19,False,False,4
6103,pay_9CMD1LGSPUSSIA,2025-12-24T19:16:22.554846,dormant,903.52,INR,upi,PayZapp,Canara,success,,device_a3b0df17-725f-49,103.204.78.17,14.0,False,"[""High velocity: 7 txns in 1 min"", ""UPI switching: 87.5%""]",large,19,False,False,10
6102,pay_0XSFWLPMJS4QDK,2025-12-24T19:16:22.219586,normal,479.54,INR,upi,PhonePe,SBI,success,,device_6bec2a19-fbdb-45,103.8.255.218,7.0,False,"[""UPI switching: 75.0%""]",medium,19,False,False,6
6101,pay_IME2LDKXJTHFMT,2025-12-24T19:16:20.502317,dormant,1049.27,INR,upi,PayZapp,Kotak,failed,TRANSACTION_DECLINED,device_c78bc216-7ae8-48,103.219.23.3,7.0,False,"[""UPI switching: 100.0%""]",large,19,False,False,5
6100,pay_RDZQMQZSFQJF5N,2025-12-24T19:16:19.985495,dormant,1340.88,INR,upi,Amazon Pay,ICICI,success,,device_ad8e64ce-1785-40,103.96.147.55,7.0,False,"[""UPI switching: 66.67%""]",large,19,False,False,5
6099,pay_0T8DRWA82Q8J9R,2025-12-24T19:16:19.687995,normal,818.97,INR,upi,Paytm,Kotak,success,,device_f986e74f-0410-45,103.39.85.228,7.0,False,"[""UPI switching: 100.0%""]",large,19,False,False,6
6098,pay_H5I3P9QZ7JY9V7,2025-12-24T19:16:19.646862,dormant,56.12,INR,upi,Paytm,Canara,success,,device_98329875-2516-4d,103.6.14.162,14.0,False,"[""High velocity: 7 txns in 1 min"", ""UPI switching: 75.0%""]",medium,19,False,False,10
6097,pay_IRU50SA3FIC4EO,2025-12-24T19:16:19.103475,dormant,504.26,INR,upi,Paytm,Axis,success,,device_e6cd67b5-6117-4d,103.56.168.232,7.0,False,"[""UPI switching: 100.0%""]",large,19,False,False,6
6096,pay_4EUHK1CNEMIJ6Y,2025-12-24T19:16:18.436945,dormant,161.48,INR,upi,PhonePe,SBI,success,,device_c43078c7-ea54-4a,103.245.141.81,17.0,False,"[""High failure rate: 66.67%"", ""UPI switching: 100.0%""]",medium,19,False,False,4
6095,pay_LT4NC3QTLVTR4V,2025-12-24T19:16:16.818793,normal,1697.12,INR,upi,GPay,Kotak,success,,device_44006e84-b289-45,103.106.16.66,7.0,False,"[""UPI switching: 100.0%""]",large,19,False,False,6
6094,pay_0VM1OBPZYGR94Z,2025-12-24T19:16:16.397261,dormant,286.74,INR,upi,WhatsApp Pay,Axis,success,,device_8d85900a-d6f3-42,103.249.152.235,7.0,False,"[""UPI switching: 100.0%""]",medium,19,False,False,3
6093,pay_3M7SG1M4814HCA,2025-12-24T19:16:16.171629,dormant,1895.5,INR,upi,PayZapp,PNB,success,,device_af5deff8-284a-4a,103.248.131.250,14.0,False,"[""High velocity: 5 txns in 1 min"", ""UPI switching: 66.67%""]",large,19,False,False,8
6092,pay_RX145GF43PO6AR,2025-12-24T19:16:15.696533,dormant,1064.86,INR,upi,Amazon Pay,SBI,failed,GATEWAY_ERROR,device_a3b0df17-725f-49,103.204.78.17,14.0,False,"[""High velocity: 6 txns in 1 min"", ""UPI switching: 85.71%""]",large,19,False,False,9
6091,pay_WA5Y7M6RWP07JI,2025-12-24T19:16:14.705401,normal,159.45,INR,upi,BHIM,HDFC,success,,device_fc1e0756-3b17-42,103.109.70.237,7.0,False,"[""UPI switching: 100.0%""]",medium,19,False,False,6
6090,pay_0OG68D3A3QF4GD,2025-12-24T19:16:13.689853,dormant,1865.51,INR,upi,Amazon Pay,SBI,success,,device_98329875-2516-4d,103.6.14.162,14.0,False,"[""High velocity: 6 txns in 1 min"", ""UPI switching: 71.43%""]",large,19,False,False,9
6089,pay_N8F610XH6KBC0Z,2025-12-24T19:16:12.662492,dormant,1874.32,INR,upi,BHIM,Kotak,success,,device_ad8e64ce-1785-40,103.96.147.55,7.0,False,"[""UPI switching: 50.0%""]",large,19,False,False,4
6088,pay_0ZWY09DD2Z28L2,2025-12-24T19:16:11.927991,dormant,1712.51,INR,upi,PayZapp,ICICI,failed,BAD_REQUEST_ERROR,device_c43078c7-ea54-4a,103.245.141.81,7.0,False,"[""UPI switching: 100.0%""]",large,19,False,False,3
6087,pay_B9CU1258H55AJ2,2025-12-24T19:16:11.752290,dormant,5700.54,INR,upi,WhatsApp Pay,Kotak,success,,device_c78bc216-7ae8-48,103.219.23.3,7.0,False,"[""UPI switching: 100.0%""]",very_large,19,False,False,4
6086,pay_273DPWDRAZ7XBJ,2025-12-24T19:16:11.715177,normal,56.45,INR,upi,Amazon Pay,SBI,success,,device_ab3af891-9f79-42,103.218.220.236,7.0,False,"[""UPI switching: 100.0%""]",medium,19,False,False,6
6085,pay_Q7JOYZDVO2H9RV,2025-12-24T19:16:10.213960,dormant,124.54,INR,upi,BHIM,ICICI,success,,device_e6cd67b5-6117-4d,103.56.168.232,7.0,False,"[""UPI switching: 100.0%""]",medium,19,False,False,5
6084,pay_5SLAX5LNDFEQ1E,2025-12-24T19:16:08.787022,dormant,714.81,INR,upi,PayZapp,PNB,success,,device_a3b0df17-725f-49,103.204.78.17,14.0,False,"[""High velocity: 5 txns in 1 min"", ""UPI switching: 83.33%""]",large,19,False,False,8
6083,pay_CMLPYTOM03HU6Y,2025-12-24T19:16:08.393133,normal,408.39,INR,upi,Paytm,Canara,success,,device_90a61646-6629-4b,103.37.220.140,7.0,False,"[""UPI switching: 100.0%""]",medium,19,False,False,6
6082,pay_Q40ZHE0IIQXTDT,2025-12-24T19:16:08.229875,dormant,4737.09,INR,upi,WhatsApp Pay,Axis,failed,BAD_REQUEST_ERROR,device_af5deff8-284a-4a,103.248.131.250,7.0,False,"[""UPI switching: 60.0%""]",very_large,19,False,False,7
6081,pay_J3UCJM47DM2M50,2025-12-24T19:16:06.922058,dormant,994.67,INR,upi,GPay,Axis,failed,TRANSACTION_DECLINED,device_98329875-2516-4d,103.6.14.162,14.0,False,"[""High velocity: 5 txns in 1 min"", ""UPI switching: 66.67%""]",large,19,False,False,8
6080,pay_2QNHKCZ3JPB2V9,2025-12-24T19:16:06.084749,dormant,1782.15,INR,upi,GPay,SBI,success,,device_c78bc216-7ae8-48,103.219.23.3,7.0,False,"[""UPI switching: 100.0%""]",large,19,False,False,3
6079,pay_MMS64WEEH5755F,2025-12-24T19:16:03.631054,dormant,10.66,INR,upi,PhonePe,Kotak,success,,device_ad8e64ce-1785-40,103.96.147.55,7.0,False,"[""UPI switching: 100.0%""]",small,19,False,False,3
6078,pay_TXJPIAVKZTS4V2,2025-12-24T19:16:03.197864,dormant,1270.49,INR,upi,Paytm,BOB,success,,device_e6cd67b5-6117-4d,103.56.168.232,7.0,False,"[""UPI switching: 100.0%""]",large,19,False,False,4
6077,pay_OJB4WORLFYCDSR,2025-12-24T19:16:02.485659,normal,3318.21,INR,upi,WhatsApp Pay,Kotak,success,,device_46accc74-897a-42,103.179.19.86,7.0,False,"[""UPI switching: 100.0%""]",very_large,19,False,False,5
6076,pay_VM67DFMRLNQ2BW,2025-12-24T19:16:01.197552,normal,167.16,INR,upi,Amazon Pay,HDFC,success,,device_34cab351-e0b2-48,103.10.148.240,7.0,False,"[""UPI switching: 50.0%""]",medium,19,False,False,6
6075,pay_D8LKW8G9RR0WU8,2025-12-24T19:16:00.806501,dormant,840.82,INR,upi,Amazon Pay,ICICI,success,,device_af5deff8-284a-4a,103.248.131.250,7.0,False,"[""UPI switching: 75.0%""]",large,19,False,False,6
6074,pay_CQSLTDZNWR2KSA,2025-12-24T19:16:00.510813,dormant,632.67,INR,upi,BHIM,Kotak,failed,DEBIT_FAILED,device_98329875-2516-4d,103.6.14.162,7.0,False,"[""UPI switching: 60.0%""]",large,19,False,False,7
6073,pay_WNV41ZFTREAFV9,2025-12-24T19:15:59.499940,dormant,771.08,INR,upi,BHIM,HDFC,success,,device_a3b0df17-725f-49,103.204.78.17,7.0,False,"[""UPI switching: 80.0%""]",large,19,False,False,7
6072,pay_JPUS2ZT1BW3865,2025-12-24T19:15:57.964583,normal,2402.46,INR,upi,PhonePe,ICICI,success,,device_7e230391-f6a3-4d,103.187.222.141,0.0,False,,very_large,19,False,False,5
6071,pay_50KTWTWHJCMIMI,2025-12-24T19:15:57.580010,dormant,36.08,INR,upi,WhatsApp Pay,BOB,failed,TRANSACTION_DECLINED,device_e6cd67b5-6117-4d,103.56.168.232,7.0,False,"[""UPI switching: 100.0%""]",small,19,False,False,3
6070,pay_OO39XRGWXLITCJ,2025-12-24T19:15:54.198427,dormant,447.28,INR,upi,WhatsApp Pay,Kotak,success,,device_98329875-2516-4d,103.6.14.162,7.0,False,"[""UPI switching: 50.0%""]",medium,19,False,False,6
6069,pay_XN1LAY7E96GRLS,2025-12-24T19:15:53.931583,normal,16.69,INR,upi,WhatsApp Pay,SBI,success,,device_7dc62300-cf58-44,103.27.12.72,7.0,False,"[""UPI switching: 100.0%""]",small,19,False,False,5
6068,pay_RLKJEMDLBYYJ9G,2025-12-24T19:15:53.754026,dormant,1798.51,INR,upi,Amazon Pay,BOB,success,,device_af5deff8-284a-4a,103.248.131.250,7.0,False,"[""UPI switching: 100.0%""]",large,19,False,False,5
6067,pay_UXA9S1TMTKYKZY,2025-12-24T19:15:53.664209,dormant,2958.75,INR,upi,GPay,HDFC,success,,device_a3b0df17-725f-49,103.204.78.17,7.0,False,"[""UPI switching: 75.0%""]",very_large,19,False,False,6
6066,pay_BZ0Z58R9PB3MGL,2025-12-24T19:15:51.960743,normal,85.75,INR,upi,BHIM,ICICI,success,,device_6bec2a19-fbdb-45,103.8.255.218,7.0,False,"[""UPI switching: 100.0%""]",medium,19,False,False,5
6065,pay_XSK37EI90Z4SVK,2025-12-24T19:15:48.378499,dormant,1706.69,INR,upi,BHIM,BOB,success,,device_98329875-2516-4d,103.6.14.162,0.0,False,,large,19,False,False,5
6064,pay_6ERWIDBDWY4WCR,2025-12-24T19:15:48.282168,dormant,1710.95,INR,upi,Paytm,PNB,success,,device_a3b0df17-725f-49,103.204.78.17,7.0,False,"[""UPI switching: 66.67%""]",large,19,False,False,5
6063,pay_PPX13CN9ESGDZ7,2025-12-24T19:15:45.401959,normal,2430.21,INR,upi,GPay,Axis,failed,INSUFFICIENT_FUNDS,device_f986e74f-0410-45,103.39.85.228,7.0,False,"[""UPI switching: 100.0%""]",very_large,19,False,False,5
6062,pay_HJVCEVYT8D0A9R,2025-12-24T19:15:44.622629,dormant,770.03,INR,upi,Amazon Pay,HDFC,success,,device_af5deff8-284a-4a,103.248.131.250,7.0,False,"[""UPI switching: 100.0%""]",large,19,False,False,4
6061,pay_K2SR0BAUWEN1WG,2025-12-24T19:15:41.679837,dormant,2313.03,INR,upi,PayZapp,ICICI,success,,device_98329875-2516-4d,103.6.14.162,7.0,False,"[""UPI switching: 50.0%""]",very_large,19,False,False,4
6060,pay_2A6Y38K34W2ROH,2025-12-24T19:15:41.290042,normal,61.24,INR,upi,WhatsApp Pay,ICICI,success,,device_ab3af891-9f79-42,103.218.220.236,7.0,False,"[""UPI switching: 100.0%""]",medium,19,False,False,5
6059,pay_XXZJB2ZKG4WQEC,2025-12-24T19:15:40.240700,dormant,4336.99,INR,upi,Amazon Pay,Kotak,failed,DEBIT_FAILED,device_a3b0df17-725f-49,103.204.78.17,7.0,False,"[""UPI switching: 50.0%""]",very_large,19,False,False,4
6058,pay_GRCZSPK54NSAW8,2025-12-24T19:15:39.356967,normal,234.18,INR,upi,BHIM,BOB,success,,device_fc1e0756-3b17-42,103.109.70.237,7.0,False,"[""UPI switching: 100.0%""]",medium,19,False,False,5
6057,pay_ECJ3DKO1CFEZ0J,2025-12-24T19:15:38.597137,dormant,160.85,INR,upi,PayZapp,PNB,success,,device_af5deff8-284a-4a,103.248.131.250,7.0,False,"[""UPI switching: 100.0%""]",medium,19,False,False,3
6056,pay_CL258OVS4UHSUV,2025-12-24T19:15:35.855162,normal,38.44,INR,upi,PayZapp,PNB,success,,device_44006e84-b289-45,103.106.16.66,7.0,False,"[""UPI switching: 100.0%""]",small,19,False,False,5
6055,pay_BYM1UNDGJZ5XI1,2025-12-24T19:15:34.232623,dormant,169.0,INR,upi,PayZapp,PNB,failed,DEBIT_FAILED,device_98329875-2516-4d,103.6.14.162,0.0,False,,medium,19,False,False,3
6054,pay_O4UG1B0P5FNHWW,2025-12-24T19:15:33.105616,dormant,482.56,INR,upi,PhonePe,Canara,failed,GATEWAY_ERROR,device_a3b0df17-725f-49,103.204.78.17,0.0,False,,medium,19,False,False,3
6053,pay_C3STQA72L41SE7,2025-12-24T19:15:25.161515,normal,150.47,INR,upi,PhonePe,Axis,failed,DEBIT_FAILED,device_34cab351-e0b2-48,103.10.148.240,7.0,False,"[""UPI switching: 66.67%""]",medium,19,False,False,5
6052,pay_BUGIQZWCQ0PWCP,2025-12-24T19:15:22.781408,normal,439.36,INR,upi,PayZapp,SBI,success,,device_90a61646-6629-4b,103.37.220.140,7.0,False,"[""UPI switching: 100.0%""]",medium,19,False,False,5
6051,pay_B8RZSEYI3XZ5S5,2025-12-24T19:15:20.251292,normal,1400.87,INR,upi,GPay,HDFC,success,,device_7dc62300-cf58-44,103.27.12.72,7.0,False,"[""UPI switching: 100.0%""]",large,19,False,False,4
6050,pay_YVYAFRBVELUH88,2025-12-24T19:15:12.167299,normal,730.88,INR,upi,Paytm,BOB,success,,device_7e230391-f6a3-4d,103.187.222.141,7.0,False,"[""UPI switching: 50.0%""]",large,19,False,False,4
6049,pay_NSX5XSNRJK6NXH,2025-12-24T19:15:10.434479,normal,561.68,INR,upi,Paytm,PNB,success,,device_ab3af891-9f79-42,103.218.220.236,7.0,False,"[""UPI switching: 100.0%""]",large,19,False,False,4
6048,pay_M744XPYZ8A2DAQ,2025-12-24T19:15:09.682365,normal,29.37,INR,upi,Amazon Pay,PNB,success,,device_46accc74-897a-42,103.179.19.86,7.0,False,"[""UPI switching: 100.0%""]",small,19,False,False,4
6047,pay_61H51KHUTURTPQ,2025-12-24T19:15:08.492185,normal,805.93,INR,upi,BHIM,BOB,success,,device_6bec2a19-fbdb-45,103.8.255.218,7.0,False,"[""UPI switching: 100.0%""]",large,19,False,False,4
6046,pay_7OZ0WZLLUZXPS0,2025-12-24T19:14:55.668941,normal,21.35,INR,upi,PayZapp,SBI,success,,device_f986e74f-0410-45,103.39.85.228,7.0,False,"[""UPI switching: 100.0%""]",small,19,False,False,4
6045,pay_NIJ8B8R64ONYLK,2025-12-24T19:14:55.338194,dormant,28.53,INR,upi,PhonePe,PNB,success,,device_ad8e64ce-1785-40,103.96.147.55,0.0,False,,small,19,False,False,2
6044,pay_K2KOFPP08V1BNF,2025-12-24T19:14:51.300441,dormant,18.7,INR,upi,WhatsApp Pay,BOB,success,,device_8d85900a-d6f3-42,103.249.152.235,10.0,False,"[""High failure rate: 100.0%""]",small,19,False,False,2
6043,pay_HJEVOQ06U23B8C,2025-12-24T19:14:49.015897,normal,1.97,INR,upi,GPay,SBI,success,,device_fc1e0756-3b17-42,103.109.70.237,7.0,False,"[""UPI switching: 100.0%""]",small,19,False,False,4
6042,pay_4EAZ4ZURSNGP8J,2025-12-24T19:14:46.937847,normal,495.8,INR,upi,GPay,PNB,success,,device_44006e84-b289-45,103.106.16.66,7.0,False,"[""UPI switching: 100.0%""]",medium,19,False,False,4
6041,pay_W7SIJ5VP7RUDKO,2025-12-24T19:14:41.364409,dormant,295.62,INR,upi,GPay,ICICI,success,,device_c43078c7-ea54-4a,103.245.141.81,10.0,False,"[""High failure rate: 100.0%""]",medium,19,False,False,2
6040,pay_2H2KPG3LUB2HWE,2025-12-24T19:14:37.357901,dormant,24.08,INR,upi,Paytm,HDFC,success,,device_ef322e13-4428-49,103.34.235.49,0.0,False,,small,19,False,False,2
6039,pay_CX1OUEYA0BSTZW,2025-12-24T19:14:36.002160,normal,345.49,INR,upi,GPay,SBI,success,,device_90a61646-6629-4b,103.37.220.140,7.0,False,"[""UPI switching: 100.0%""]",medium,19,False,False,4
6038,pay_U0RT8JAK5AO1Y2,2025-12-24T19:14:35.659591,dormant,1929.65,INR,upi,PayZapp,Kotak,success,,device_e4192be0-471d-47,103.102.124.154,10.0,False,"[""High failure rate: 100.0%""]",large,19,False,False,2
6037,pay_GQ717P8DS33Y0E,2025-12-24T19:14:34.187595,normal,1841.25,INR,upi,PhonePe,ICICI,success,,device_34cab351-e0b2-48,103.10.148.240,7.0,False,"[""UPI switching: 50.0%""]",large,19,False,False,4
6036,pay_DARH7DKOW0CMLK,2025-12-24T19:14:33.856355,normal,48.28,INR,upi,Amazon Pay,HDFC,success,,device_7dc62300-cf58-44,103.27.12.72,7.0,False,"[""UPI switching: 100.0%""]",small,19,False,False,3
6035,pay_MVF1RT53L6A82E,2025-12-24T19:14:30.970427,impatient,1303.54,INR,upi,PhonePe,Kotak,failed,INSUFFICIENT_FUNDS,device_dc3bca00-f82f-4e,103.174.19.121,14.0,False,"[""High velocity: 5 txns in 1 min"", ""UPI switching: 100.0%""]",large,19,False,False,11
6034,pay_BPO2M3D5O2K51V,2025-12-24T19:14:26.346156,normal,114.18,INR,upi,Paytm,BOB,success,,device_6bec2a19-fbdb-45,103.8.255.218,7.0,False,"[""UPI switching: 100.0%""]",medium,19,False,False,3
6033,pay_7VM70WJ7XGTLXZ,2025-12-24T19:14:26.316892,dormant,7.14,INR,upi,PhonePe,SBI,success,,device_af5deff8-284a-4a,103.248.131.250,0.0,False,,small,19,False,False,2
6032,pay_PVNX1X8G6F8XQI,2025-12-24T19:14:23.259488,dormant,271.05,INR,upi,BHIM,ICICI,success,,device_a3b0df17-725f-49,103.204.78.17,0.0,False,,medium,19,False,False,2
6031,pay_190J6SJ7630ZTN,2025-12-24T19:14:23.083543,normal,36.78,INR,upi,Paytm,ICICI,success,,device_7e230391-f6a3-4d,103.187.222.141,0.0,False,,small,19,False,False,3
6030,pay_3YITSOB57QU55C,2025-12-24T19:14:22.152184,impatient,182.46,INR,upi,GPay,SBI,success,,device_dc3bca00-f82f-4e,103.174.19.121,14.0,False,"[""High velocity: 5 txns in 1 min"", ""UPI switching: 100.0%""]",medium,19,False,False,10
6029,pay_SI95EUUI1SC80W,2025-12-24T19:14:21.358038,dormant,96.93,INR,upi,PayZapp,SBI,failed,INSUFFICIENT_FUNDS,device_c78bc216-7ae8-48,103.219.23.3,0.0,False,,medium,19,False,False,2
6028,pay_GP6OFWAZH540BF,2025-12-24T19:14:16.913169,impatient,324.22,INR,upi,Amazon Pay,Kotak,success,,device_1383c184-5cd0-48,103.146.115.9,14.0,False,"[""High velocity: 7 txns in 1 min"", ""UPI switching: 88.89%""]",medium,19,False,False,11
6027,pay_IBQXNFYW9RZWAI,2025-12-24T19:14:16.842396,normal,268.91,INR,upi,PayZapp,PNB,failed,GATEWAY_ERROR,device_fc1e0756-3b17-42,103.109.70.237,7.0,False,"[""UPI switching: 100.0%""]",medium,19,False,False,3
6026,pay_V7RFV2UPHE843Q,2025-12-24T19:14:16.502618,impatient,1181.33,INR,upi,PhonePe,PNB,failed,INSUFFICIENT_FUNDS,device_a746bf5d-53b6-44,103.38.216.43,7.0,False,"[""UPI switching: 55.56%""]",large,19,False,False,11
6025,pay_4U5CAFMKHYND4X,2025-12-24T19:14:15.051187,normal,363.23,INR,upi,Amazon Pay,Canara,success,,device_ab3af891-9f79-42,103.218.220.236,7.0,False,"[""UPI switching: 100.0%""]",medium,19,False,False,3
6024,pay_9QHB5XI3O4TO4G,2025-12-24T19:14:12.620362,impatient,324.22,INR,upi,GPay,Kotak,failed,INSUFFICIENT_FUNDS,device_1383c184-5cd0-48,103.146.115.9,14.0,False,"[""High velocity: 6 txns in 1 min"", ""UPI switching: 87.5%""]",medium,19,False,False,10
6023,pay_TAL8W7J21GT1CR,2025-12-24T19:14:12.180969,impatient,670.94,INR,upi,Paytm,PNB,success,,device_6324435b-c189-4f,103.103.254.189,22.0,False,"[""High velocity: 6 txns in 1 min"", ""Burst activity: 100"", ""UPI switching: 88.89%""]",large,19,False,False,11
6022,pay_I4SELFIYHG99CT,2025-12-24T19:14:12.004134,dormant,8.46,INR,upi,PhonePe,Kotak,success,,device_98329875-2516-4d,103.6.14.162,0.0,False,,small,19,False,False,2
6021,pay_QD4BOSID3VTSPF,2025-12-24T19:14:10.709523,impatient,457.25,INR,upi,Paytm,Axis,success,,device_a746bf5d-53b6-44,103.38.216.43,15.0,False,"[""Burst activity: 80"", ""UPI switching: 62.5%""]",medium,19,False,False,10
6020,pay_9KNUGTHP0GASAC,2025-12-24T19:14:09.952520,normal,1.43,INR,upi,GPay,BOB,success,,device_46accc74-897a-42,103.179.19.86,7.0,False,"[""UPI switching: 100.0%""]",small,19,False,False,3
6019,pay_KXI9HNVXASN1UE,2025-12-24T19:14:09.674773,impatient,243.94,INR,upi,GPay,ICICI,success,,device_c1477a0f-4e40-4a,103.65.52.19,32.0,False,"[""High velocity: 7 txns in 1 min"", ""Burst activity: 100"", ""High failure rate: 60.0%"", ""UPI switching: 88.89%""]",medium,19,False,False,11
6018,pay_1D1V04QMLPKP4F,2025-12-24T19:14:09.314708,impatient,324.22,INR,upi,PhonePe,SBI,failed,GATEWAY_ERROR,device_1383c184-5cd0-48,103.146.115.9,14.0,False,"[""High velocity: 5 txns in 1 min"", ""UPI switching: 85.71%""]",medium,19,False,False,9
